nombre,departamento,municipio,ubicacion,latitud,longitud
Estación Policial Tegucigalpa Centro,Francisco Morazán,Tegucigalpa,Tegucigalpa Centro,14.0723,-87.1921
Estación Policial Comayagüela,Francisco Morazán,Comayagüela,Comayagüela,14.0880,-87.2040
Estación Policial El Carrizal,Francisco Morazán,Tegucigalpa,El Carrizal,14.1030,-87.2060
Estación Policial Kennedy,Francisco Morazán,Tegucigalpa,Colonia Kennedy,14.0610,-87.1750
Estación Policial Toncontín,Francisco Morazán,Tegucigalpa,Toncontín,14.0520,-87.2170
Estación Policial Valle de Ángeles,Francisco Morazán,Valle de Ángeles,Valle de Ángeles,14.1500,-87.0300
Estación Policial Santa Lucía,Francisco Morazán,Santa Lucía,Santa Lucía,14.1100,-87.0700
Estación Policial Talanga,Francisco Morazán,Talanga,Talanga,14.4100,-87.0800
Estación Policial San Pedro Sula Centro,Cortés,San Pedro Sula,Centro,15.5000,-88.0300
Estación Policial Chamelecón,Cortés,San Pedro Sula,Chamelecón,15.4500,-88.0500
Estación Policial Rivera Hernández,Cortés,San Pedro Sula,Rivera Hernández,15.4800,-88.0100
Estación Policial Cofradía,Cortés,San Pedro Sula,Cofradía,15.3700,-88.1500
Estación Policial Choloma,Cortés,Choloma,Centro,15.6100,-87.9500
Estación Policial Villanueva,Cortés,Villanueva,Centro,15.3200,-88.0000
Estación Policial Puerto Cortés,Cortés,Puerto Cortés,Centro,15.8500,-87.9300
Estación Policial La Lima,Cortés,La Lima,Centro,15.4400,-87.9000
Estación Policial La Ceiba,Atlántida,La Ceiba,Centro,15.7700,-86.7900
Estación Policial El Porvenir,Atlántida,El Porvenir,Centro,15.7800,-86.9300
Estación Policial Tela,Atlántida,Tela,Centro,15.7750,-87.4600
Estación Policial Jutiapa,Atlántida,Jutiapa,Centro,15.6900,-86.5000
Estación Policial La Masica,Atlántida,La Masica,Centro,15.6100,-87.1200
Estación Policial Trujillo,Colón,Trujillo,Centro,15.9200,-85.9500
Estación Policial Tocoa,Colón,Tocoa,Centro,15.6500,-86.0000
Estación Policial Bonito Oriental,Colón,Bonito Oriental,Centro,15.7500,-85.7300
Estación Policial Sabá,Colón,Sabá,Centro,15.4700,-86.2500
Estación Policial Juticalpa,Olancho,Juticalpa,Centro,14.6700,-86.2200
Estación Policial Catacamas,Olancho,Catacamas,Centro,14.8500,-85.9000
Estación Policial Campamento,Olancho,Campamento,Centro,14.5500,-85.9700
Estación Policial San Esteban,Olancho,San Esteban,Centro,14.8500,-85.2000
Estación Policial Dulce Nombre de Culmí,Olancho,Dulce Nombre de Culmí,Centro,14.9200,-85.5300
Estación Policial Comayagua,Comayagua,Comayagua,Centro,14.4500,-87.6400
Estación Policial Siguatepeque,Comayagua,Siguatepeque,Centro,14.6000,-87.8300
Estación Policial La Libertad,Comayagua,La Libertad,Centro,14.7600,-87.6200
Estación Policial San Jerónimo,Comayagua,San Jerónimo,Centro,14.6400,-87.6000
Estación Policial Santa Rosa de Copán,Copán,Santa Rosa de Copán,Centro,14.7700,-88.7800
Estación Policial La Entrada,Copán,Nueva Arcadia,La Entrada,15.0500,-88.7300
Estación Policial Copán Ruinas,Copán,Copán Ruinas,Centro,14.8400,-89.1500
Estación Policial Florida,Copán,Florida,Centro,15.0400,-88.8300
Estación Policial Gracias,Lempira,Gracias,Centro,14.5900,-88.5800
Estación Policial La Campa,Lempira,La Campa,Centro,14.4500,-88.5700
Estación Policial Erandique,Lempira,Erandique,Centro,14.2300,-88.5600
Estación Policial Ocotepeque,Ocotepeque,Ocotepeque,Centro,14.4300,-89.1800
Estación Policial Nueva Ocotepeque,Ocotepeque,Ocotepeque,Centro,14.4300,-89.1800
Estación Policial La Esperanza,Intibucá,La Esperanza,Centro,14.3100,-88.1800
Estación Policial Intibucá,Intibucá,Intibucá,Centro,14.4300,-88.1500
Estación Policial Jesús de Otoro,Intibucá,Jesús de Otoro,Centro,14.4800,-87.9800
Estación Policial La Paz,La Paz,La Paz,Centro,14.3200,-87.6800
Estación Policial Marcala,La Paz,Marcala,Centro,14.1500,-88.0300
Estación Policial Santa Ana,La Paz,Santa Ana,Centro,14.0500,-87.9500
Estación Policial Choluteca,Choluteca,Choluteca,Centro,13.3000,-87.1900
Estación Policial San Marcos de Colón,Choluteca,San Marcos de Colón,Centro,13.4300,-86.8200
Estación Policial El Triunfo,Choluteca,El Triunfo,Centro,13.1000,-87.0000
Estación Policial Pespire,Choluteca,Pespire,Centro,13.5800,-87.3600
Estación Policial San Lorenzo,Valle,San Lorenzo,Centro,13.4200,-87.4400
Estación Policial Nacaome,Valle,Nacaome,Centro,13.5300,-87.4900
Estación Policial Amapala,Valle,Amapala,Centro,13.2900,-87.6500
Estación Policial Danlí,El Paraíso,Danlí,Centro,14.0400,-86.5700
Estación Policial El Paraíso,El Paraíso,El Paraíso,Centro,13.8500,-86.5500
Estación Policial Yuscarán,El Paraíso,Yuscarán,Centro,13.9500,-86.8500
Estación Policial Trojes,El Paraíso,Trojes,Centro,14.1300,-85.9800
Estación Policial Santa Bárbara,Santa Bárbara,Santa Bárbara,Centro,14.9200,-88.2400
Estación Policial Quimistán,Santa Bárbara,Quimistán,Centro,15.3500,-88.4000
Estación Policial Trinidad,Santa Bárbara,Trinidad,Centro,15.1300,-88.2400
Estación Policial San Luis,Santa Bárbara,San Luis,Centro,15.0800,-88.4000
